name,species,experiment_type,treatment,after_treatment,common_potential,cell_type,notes,AP_peak,AP_amp,max_dvdt,min_dvdt,halfwidth,resonance_freq,cutoff,input_R,sag,RMP,EPSC_5sec,EPSC_Hz,EPSC_amp,puff_change,puff_outcome,FI_50,FI_100,FI_150,FI_200,FI_250,FI_300,FI_350,FI_400,FI_450,FI_500,FI_550,FI_600,FI_650,FI_700,FI_750,FI_800,FI_850,FI_900,Layer,topLeaf_label
C57BL6J-627280.05.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,51.055908,82.460045,372.9248,-87.890625,0.8046875,0.63636363,2.2687554,138.87631,1.038329,-69.794807,39.83333333,7.966666667,10.238076,-2,hyperpolarized,0,4,8,11,15,18,19,22,23,25,,,,,,,,,,
C57BL6J-627280.05.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,43.548584,74.208275,275.26855,-74.462891,0.87841797,0.68181819,3.4148715,98.190804,1.0490563,-68.589417,28.64705882,5.729411765,8.155149,-2,hyperpolarized,0,0,0,0,0,1,2,4,5,7,9,,,,,,,,,
Gad2-IRES-Cre;Ai14-626576.02.02.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,37.506104,74.204102,290.22217,-79.956055,0.83679199,0.5,2.7353761,158.39481,1.0364312,-70.055344,16.25,3.25,8.615345,2,depolarized,0,3,11,15,19,22,26,28,30,32,,,,,,,,,,
Gad2-IRES-Cre;Ai14-626576.02.02.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,38.299561,74.314713,308.22754,-85.754395,0.77502441,0.63636363,3.1750321,135.34784,1.0281126,-63.614803,17.55555556,3.511111111,7.71438042,2,depolarized,0,0,3,11,15,18,21,24,27,28,,,,,,,,,,
C57BL6J-627281.04.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,inhibitory?,,37.658691,81.206352,371.39893,-138.24463,0.63220215,2.1363637,5.8037419,117.97083,1.0257235,-65.377129,125.3636364,25.07272727,8.1023173,0,no change,0,9,24,36,46,55,60,65,69,73,,,,,,,,,,
C57BL6J-627281.04.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,inhibitory?,,7.1411133,44.474602,145.87402,-51.269531,0.93933105,1.5,6.3197961,181.88327,1.0228286,-67.306366,48.77777778,9.755555556,6.459439,0,no change,0,10,26,38,46,53,58,62,75.5,,,,,,,,,,,
C57BL6J-627281.04.04.01,mouse,3 second puff,50uM 5HT,0,0,excitatory,,39.093018,73.512497,272.2168,-70.19043,0.97668457,0.5,2.2806861,237.84486,0.93231267,-62.915569,8.333333333,1.666666667,9.8144527,-1,hyperpolarized then depolarized,7,19,28,34,37,40,43,42,43,38,,,,,,,,,,
C57BL6J-627281.04.04.01,mouse,3 second puff,50uM 5HT,1,0,excitatory,,39.0625,76.144577,274.35303,-75.98877,0.96594238,0.5,2.4168639,264.50589,0.91631931,-64.165749,7.888888889,1.577777778,8.1924653,-1,hyperpolarized then depolarized,10,22,31,36,40,43,44,45,39,,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-627391.06.02.03,mouse,3 second puff,50uM 5HT,0,0,excitatory,,53.771973,92.662872,462.03613,-140.07568,0.61779785,2.3181818,6.1195707,71.759407,1.1560373,-62.638794,158.25,31.65,12.8598086,-2,hyperpolarized,0,0,6,15,23,30,35,39,43,45,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-627391.06.02.03,mouse,3 second puff,50uM 5HT,1,0,excitatory,,52.246094,89.805527,443.42041,-151.67236,0.58044434,2.6818182,7.2089448,69.703407,1.160306,-62.966415,158,31.6,14.52405,-2,hyperpolarized,0,0,5,14,23,29,35,38,41,43,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-627391.06.02.01,mouse,3 second puff,50uM 5HT,0,0,excitatory,,39.123535,84.679558,386.04736,-111.99951,0.69580078,1.7727273,5.9560285,70.444687,1.108886,-82.351318,126.6666667,25.33333333,12.51302,-2,hyperpolarized,0,0,0,0,7,13,19,22,26,30,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-627391.06.02.01,mouse,3 second puff,50uM 5HT,1,0,excitatory,,37.902832,82.101585,368.65234,-112.30469,0.6932373,0.68181819,5.3770547,73.129044,1.0487487,-75.253693,109.6666667,21.93333333,14.19856,-2,hyperpolarized,0,0,0,1,5,13,17,23,27,31,,,,,,,,,,
