name,species,treatment,after_treatment,common_potential,cell_type,notes,AP_peak,AP_amp,max_dvdt,min_dvdt,halfwidth,resonance_freq,cutoff,input_R,sag,RMP,EPSC_5sec,EPSC_Hz,EPSC_amp,washin_change,washin_outcome,FI_50,FI_100,FI_150,FI_200,FI_250,FI_300,FI_350,FI_400,FI_450,FI_500,FI_550,FI_600,FI_650,FI_700,FI_750,FI_800,FI_850,FI_900,Layer,topLeaf_label
Slc17a6-IRES-Cre;Ai14-564186.11.09.01,mouse,stability,0,,pyramidal,,41.19873,77.118279,294.18945,-93.078613,0.78173828,0.5,3.0135674,120.00411,1.0471116,-73.54734,,0,,,,0,1,5,11,15,18,21,24,27,29,,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-564186.11.09.01,mouse,stability,1,,pyramidal,,26.489258,64.440643,204.46777,-76.599121,0.87866211,0.63636363,3.2494395,166.92197,1.04173,-75.695038,,0,,,,0,1,11,16,20,22,26,29,,,,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-564186.07.09.01,mouse,stability,0,,pyramidal,,46.783447,85.059761,388.79395,-91.552734,0.79370117,0.81818181,3.5060923,179.05519,0.91068494,-73.775185,,0,,,,0,9,17,22,25,28,30,,,,,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-564186.07.09.01,mouse,stability,1,,pyramidal,,39.94751,86.917267,400.08545,-102.53906,0.75805664,0.5,8.6742077,103.97393,0.94321591,-80.375717,,0,,,,0,0,0,0,0,2,7,13,19,25,28,33,34,35,,,,,,
Slc17a6-IRES-Cre;Ai14-563068.10.10.01,mouse,stability,0,,pyramidal,,50.048828,100.65046,390.01465,-123.90137,0.83081055,1.6818181,3.5062773,114.38273,1.2078105,-70.470863,,0,,,,0,10,16,22,26,31,35,37,41,42,43,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-563068.10.10.01,mouse,stability,1,,pyramidal,,47.637939,98.579735,390.31982,-136.1084,0.76611328,1.4090909,3.6317451,109.5321,1.2981551,-71.32309,,0,,,,0,9,15,21,24,28,32,,,,,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-563068.12.10.01,mouse,stability,0,,pyramidal,,46.325684,87.126404,337.82959,-80.871582,0.92492676,0.59090906,4.36549,90.898773,1.0923507,-72.957619,,0,,,,0,0,1,4,7,7,9,10,11,13,13,17,16,17,,,,,,
Slc17a6-IRES-Cre;Ai14-563068.12.10.01,mouse,stability,1,,pyramidal,,39.215088,83.696602,273.13232,-77.819824,0.98632812,0.72727275,8.0644884,70.761703,0.99649572,-80.238609,,0,,,,0,0,0,0,0,0,1,1,3,3,5,7,9,10,11,12,14,14,,
Sst-IRES-Cre;Ai14-564524.07.09.01,mouse,stability,0,,pyramidal,,46.75293,86.467148,339.35547,-83.92334,0.9074707,1,2.986614,75.514023,1.2271421,-68.18998,,0,,,,0,5,8,11,14,16,19,21,23,25,,,,,,,,,,
Sst-IRES-Cre;Ai14-564524.07.09.01,mouse,stability,1,,pyramidal,,49.255371,89.457748,387.57324,-90.332031,0.84423828,1.1363636,3.0385799,75.321266,1.2209935,-69.123627,,0,,,,0,1,6,10,13,16,18,20,22,24,26,28,29,,,,,,,
Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-565533.11.06.01,mouse,stability,0,,pyramidal,,56.854248,92.954208,366.82129,-88.500977,0.97692871,0.5,3.6270735,112.99263,0.90719724,-75.69165,,0,,,,0,2,11,19,24,28,32,34,37,39,,,,,,,,,,
