Slice,Mean
1,90.63136
2,90.51683
3,90.59277
4,90.53448
5,90.78366
6,90.54392
7,90.32594
8,90.57266
9,90.59688
10,90.68268
11,90.64902
12,90.55952
13,91.11700
14,90.99015
15,91.11823
16,91.17118
17,90.95033
18,91.30706
19,91.06322
20,91.17570
21,91.07348
22,90.72948
23,90.72291
24,90.74548
25,90.68514
26,90.35960
27,90.72167
28,90.89778
29,90.81075
30,90.85838
31,90.69910
32,90.57061
33,90.81281
34,90.77135
35,90.64326
36,90.61289
37,90.93842
38,90.81527
39,90.86371
40,90.87521
41,90.85550
42,90.86536
43,90.37151
44,91.05583
45,90.95731
46,91.43555
47,91.23071
48,91.25821
49,91.27052
50,91.34729
51,90.97701
52,91.10181
53,91.05994
54,91.29228
55,90.96798
56,90.98440
57,91.32635
58,91.23727
59,91.20689
60,91.37972
61,91.06896
62,91.30337
63,91.03695
64,91.31486
65,90.93965
66,90.77997
67,91.19006
68,90.69417
69,90.77299
70,91.27217
71,90.76109
72,90.81651
73,90.88342
74,90.60632
75,90.76642
76,90.82841
77,90.99918
78,90.61124
79,90.57430
80,90.59688
81,90.60303
82,90.64040
83,90.86658
84,90.57430
85,90.81199
86,90.56856
87,90.92734
88,90.60838
89,90.43144
90,90.61741
91,90.68555
92,90.57184
93,90.93144
94,90.81363
95,90.57020
96,91.18391
97,90.68965
98,90.47865
99,90.83005
100,90.46059
101,90.56445
102,90.29926
103,90.29885
104,90.13752
105,91.41051
106,93.53243
107,93.46922
108,93.68021
109,94.20033
110,94.64532
111,94.65394
112,94.86494
113,95.50452
114,95.20033
115,95.69048
116,96.63464
117,95.88670
118,94.99712
119,94.57841
120,93.96716
121,93.36043
122,93.36700
123,93.13793
124,92.70525
125,92.48563
126,92.32307
127,92.02504
128,92.06404
129,91.93473
130,91.85632
131,91.41872
132,91.60263
133,91.50000
134,91.47250
135,91.43884
136,91.70608
137,91.34565
138,90.97127
139,91.32061
140,90.81815
141,90.78243
142,92.05665
143,92.17118
144,92.21470
145,92.22003
146,91.90312
147,91.42323
148,91.34113
149,91.36536
150,92.24877
151,93.70074
152,93.92159
153,94.07635
154,94.48933
155,94.54721
156,94.80337
157,95.01437
158,95.16215
159,95.37069
160,95.42365
161,94.85674
162,94.71839
163,94.45238
164,94.10263
165,93.58826
166,93.08210
167,92.81815
168,92.77709
169,92.49220
170,92.38957
171,92.53654
172,92.05994
173,91.96305
174,91.67693
175,91.51560
176,91.17652
177,91.25123
178,91.25945
179,91.47988
180,91.48358
181,91.30542
182,91.36166
183,90.98399
184,91.12685
185,91.17775
186,90.59606
187,90.80583
188,90.96018
189,90.74548
190,90.62972
191,90.81199
192,90.55213
193,90.78695
194,91.13383
195,91.05008
196,90.98440
197,90.37890
198,90.88957
199,90.59319
200,90.64942
201,90.74672
202,90.50739
203,92.58826
204,92.95403
205,93.39532
206,93.85468
207,94.25574
208,94.50903
209,94.71675
210,94.85591
211,95.17734
212,95.07513
213,95.26231
214,94.62315
215,94.13383
216,93.82758
217,93.40025
218,92.89162
219,92.60509
220,92.45895
221,92.41010
222,92.18514
223,92.27997
224,91.96265
225,91.98769
226,91.72742
227,91.32553
228,91.47003
229,91.12562
230,90.92652
231,91.17447
232,90.89491
233,90.69992
234,90.76519
235,90.31815
236,90.39409
237,90.43432
238,90.38342
239,90.07266
240,90.32841
241,90.51806
242,90.29926
243,90.25821
244,90.27792
245,91.54885
246,92.61617
247,92.98399
248,93.41051
249,93.56075
250,93.91872
251,94.42980
252,94.66954
253,94.69171
254,95.20649
255,95.12315
256,94.91092
257,94.07513
258,93.63424
259,94.01437
260,93.03284
261,93.15969
262,93.02052
263,93.00903
264,92.71346
265,91.20689
266,91.51150
267,92.19417
268,91.89450
269,91.74179
270,90.62192
271,90.31815
272,90.05952
273,90.01314
274,90.01437
275,89.83292
276,89.61289
277,89.77709
278,89.67242
279,89.66420
280,90.43227
281,90.07718
282,89.97742
283,90.55994
