seconds,H21.03.310.11.07.01.01,H21.03.310.11.08.01.01,H21.03.310.11.08.02.01,H21.03.311.11.08.01.01,H21.03.311.11.06.01.01,H21.03.311.11.06.02.01,H21.03.312.11.07.02.01,H21.03.312.11.05.02.01,H21.03.312.11.07.01.01,H21.03.312.11.04.01.01,H21.03.312.11.04.02.01,H21.03.313.11.04.01.01,H21.03.313.11.04.02.01,H21.03.313.11.06.02.01,H21.03.313.11.06.01.01,H21.03.315.11.08.01.01,H21.03.315.11.12.01.01,H21.03.315.11.12.02.01,H21.06.356.11.07.01.01,H21.06.356.11.08.01.01,H21.06.356.11.06.01.01,H21.06.357.11.06.01.01,H21.03.316.11.07.01.01,H21.03.316.11.10.01.01,H21.03.316.11.05.01.01,H21.26.408.11.03.01.01,H21.26.409.11.04.01.01,H22.26.402.11.07.01.01,H22.26.402.11.07.02.01,H22.26.403.11.03.01.01,H22.26.404.11.02.01.01,H22.26.405.11.03.01.01,H22.26.405.11.03.02.01,H22.26.407.11.02.01.01,H22.26.407.11.02.02.01,H22.26.410.11.05.01.01,H22.26.410.11.05.02.01,H22.03.301.11.07.01.01,H22.03.301.11.07.02.01,H22.03.302.11.07.01.01,H22.03.302.11.08.01.01,H22.03.302.11.04.01.01,H22.03.304.11.08.01.01,H22.03.304.11.04.01.01,H22.26.415.11.05.01.01,H22.26.415.11.06.01.01
0,-57.379547,-53.064259,-55.674438,-71.14859,-58.941681,-65.511253,-42.510277,-70.46978,-61.108604,-51.067089,-68.563629,-36.326107,-34.501026,-53.014587,-60.919598,-69.350174,-59.963715,-63.405018,-64.577614,-63.929535,-63.020847,-69.48037,-67.743301,-65.621529,-63.024899,-72.501671,-75.675232,-69.506088,-69.187424,-62.993114,-65.21981,-71.736282,-69.855217,-71.133728,-65.564613,-74.014847,-70.119308,-64.646355,-53.148533,-62.359524,-64.764771,-58.346268,-53.286598,-59.230804,-63.491837,-65.603912
15,-56.941998,-53.489269,-55.824623,-71.175308,-58.651123,-65.442947,-41.900547,-70.812355,-61.395832,-50.34293,-68.398842,-35.627136,-35.220196,-52.620022,-61.176353,-69.418625,-60.095268,-63.474438,-64.11969,-64.153336,-63.434437,-69.832344,-67.493469,-66.722351,-61.477207,-72.920769,-75.694389,-70.211601,-69.033829,-63.03759,-62.154259,-70.848923,-69.851028,-71.238258,-65.475632,-73.092896,-71.079422,-64.546684,-52.188248,-62.4645,-64.989418,-57.657391,-50.235703,-57.494667,-63.192162,-64.731194
30,-56.834999,-52.809189,-55.684528,-71.137604,-58.353661,-65.549179,-42.584816,-66.92765,-61.64978,-49.898743,-68.628258,-37.123974,-34.28474,-51.662121,-59.297455,-69.059074,-60.9398,-63.363853,-64.470581,-64.90683,-64.100464,-69.560608,-67.26664,-66.620956,-61.617435,-72.615143,-75.042427,-69.760567,-68.625572,-63.010139,-65.794426,-71.426445,-69.446091,-71.310249,-64.739502,-72.983055,-71.498886,-64.686333,-52.962887,-62.457676,-65.138847,-58.692204,-52.354816,-58.472755,-62.755665,-64.624138
45,-57.677017,-54.036999,-55.383625,-71.337936,-58.211353,-65.351059,-42.116634,-70.533768,-59.646793,-49.742413,-68.603668,-35.620239,-34.544529,-50.690548,-57.151913,-69.073662,-60.453197,-63.806141,-64.988243,-64.786034,-64.081429,-69.811775,-66.945908,-66.264603,-61.969307,-72.354111,-75.483322,-69.806763,-69.471031,-62.847137,-67.325859,-71.089195,-69.769791,-73.234665,-64.910965,-73.501724,-71.607193,-64.75264,-52.067833,-62.958385,-65.318817,-33.894836,-51.070045,-58.827332,-63.594055,-64.373848
60,-57.342827,-54.155483,-55.366467,-70.983398,-57.598476,-65.215408,-41.640694,-70.070053,-57.133083,-49.36797,-68.805756,-36.301064,-35.232807,-50.127567,-56.302319,-68.858383,-60.906872,-64.229088,-64.70356,-64.73558,-65.07341,-69.865417,-67.054306,-66.268745,-61.8797,-72.736458,-75.282524,-69.489746,-70.174911,-62.466633,-62.588253,-70.986824,-69.720322,-72.160728,-64.98616,-73.494308,-72.894005,-64.626656,-47.064476,-63.332962,-64.729164,-65.394226,-50.733406,-58.225388,-63.436165,-64.995041
75,-60.047539,-54.539291,-55.750324,-70.384964,-57.047348,-65.246109,-41.479706,-69.838196,-59.162361,-49.492954,-69.281593,-40.861202,-34.613876,-51.386921,-56.209717,-67.892868,-61.593529,-63.628662,-64.928757,-65.040787,-64.31234,-70.059952,-67.459572,-67.103943,-62.018711,-72.611336,-75.121796,-70.541458,-70.475876,-62.688061,-63.144257,-70.932823,-70.195999,-71.491386,-64.589104,-73.046829,-72.451805,-64.607948,-43.161011,-61.554153,-65.269852,-62.258381,-51.02948,-57.743855,-63.552162,-65.592545
90,-60.433155,-55.326969,-55.634136,-71.682884,-58.054386,-65.414238,-42.943962,-69.354836,-59.25375,-48.99712,-69.580231,-41.506428,-34.607372,-51.73822,-55.634693,-68.292503,-62.027653,-63.196114,-64.555588,-64.923912,-62.206848,-69.998718,-67.032631,-66.508606,-61.307766,-72.35321,-75.657097,-70.308723,-70.306961,-62.823822,-67.103996,-70.743942,-70.318619,-71.734558,-65.318146,-72.924339,-72.94931,-64.247093,-40.676247,-61.598347,-64.831497,-61.01572,-50.41222,-56.578327,-64.16188,-65.052383
105,-59.328903,-55.353161,-56.036438,-70.819176,-58.159744,-65.299133,-42.40379,-71.017097,-59.441612,-49.141651,-69.364388,-41.537472,-34.994156,-50.971943,-55.346626,-69.027199,-60.887691,-63.486694,-64.31823,-65.187881,-63.785965,-69.473549,-67.525436,-65.385933,-61.980614,-72.484848,-75.692863,-70.114525,-70.134743,-63.067097,-62.678165,-71.249413,-70.576241,-72.349731,-65.576622,-72.678185,-71.834442,-65.203323,-46.129894,-60.412495,-66.15551,-55.087547,-50.412746,-56.26321,-64.546349,-65.333748
120,-59.887722,-55.23494,-56.229324,-70.52037,-58.389591,-65.118576,-42.448948,-68.532433,-58.359989,-50.138184,-69.380402,-37.455116,-35.638554,-50.785866,-55.053024,-66.818489,-60.965118,-64.091133,-64.490295,-65.824982,-63.605545,-69.660217,-66.658295,-65.985184,-60.519405,-72.760765,-74.754524,-70.190811,-70.883011,-63.288189,-65.53231,-71.468758,-71.071457,-72.27787,-66.207954,-72.860847,-72.267937,-65.133255,-45.794304,-60.841698,-65.862411,-56.903103,-49.340862,-58.420742,-63.493702,-65.919655
135,-60.077412,-56.021954,-55.896122,-70.728355,-58.017723,-65.232399,-41.917015,-69.456047,-60.052906,-49.746174,-69.393654,-40.268536,-35.125477,-49.769138,-56.868656,-68.997734,-61.216858,-63.519817,-63.339478,-67.004036,-63.347061,-70.264114,-67.42807,-65.788872,-61.48407,-72.807678,-75.105789,-69.873543,-72.309601,-63.504761,-65.383469,-71.370773,-71.567497,-72.268929,-65.558731,-72.654259,-72.370415,-65.411316,-50.981964,-60.987476,-66.137466,-57.588638,-48.34293,-58.694328,-63.549248,-66.135468
