seconds,597113.04.01.01,596770.04.01.01,596770.04.02.02,596770.04.02.01,580682.05.10.01,581851.05.03.01,580200.04.02.01,572057.04.10.01,572288.02.09.01
0,-71.67849,-72.790512,-76.448669,-82.66832,-61.803226,-70.233688,-55.910591,-59.095657,-62.703396
15,-71.680244,-72.832436,-76.909103,-82.493622,-61.478493,-70.134094,-55.79224,-59.003555,-63.023392
30,-72.619461,-73.442009,-77.370041,-82.542313,-62.551605,-69.679489,-54.982937,-58.571556,-62.874809
45,-71.782852,-73.098259,-77.101501,-82.223602,-62.883228,-70.037277,-55.945042,-58.41861,-61.832558
60,-71.590439,-73.051247,-77.537872,-82.304825,-61.804676,-69.740562,-55.620449,-59.360401,-61.768349
75,-72.794724,-72.882805,-77.682953,-82.428146,-62.490997,-70.205925,-56.045078,-59.663494,-61.830055
90,-73.036057,-73.049858,-77.437515,-81.990662,-62.796448,-70.016754,-56.147717,-61.896595,-62.866638
105,-73.111877,-73.13868,-76.867485,-82.150261,-62.351471,-69.660301,-56.161274,-62.553509,-62.808926
120,-73.27697,-72.804222,-76.799706,-81.844002,-61.055939,-70.049652,-55.869701,-61.769173,-62.398186
135,-72.855202,-71.83902,-77.032738,-82.523987,-62.039886,-70.552635,-56.396461,-61.792824,-62.341061
150,-71.821808,-72.202682,-76.278244,-81.676292,-62.728561,-70.037186,-56.726784,-61.428387,-62.136177
165,-72.872139,-72.500259,-76.184029,-82.307755,-62.37738,-70.650261,-55.943909,-59.648369,-62.149178
180,-71.694786,-72.654945,-75.248665,-83.147369,-62.619831,-70.403908,-56.732327,-58.44833,-63.26083
195,-72.891876,-72.102173,-75.331459,-83.198776,-63.23666,-69.961418,-56.836857,-57.851574,-62.711704
210,-73.959061,-72.610886,-75.67157,-82.777199,-62.612339,-69.557808,-56.57275,-57.358856,-63.338833
225,-73.123375,-72.149673,-75.388573,-83.258606,-62.147835,-69.706566,-57.011284,-57.407513,-65.584633
240,-73.393723,-72.089973,-75.52243,-83.378769,-62.978386,-70.368401,-56.631702,-57.295715,-61.567783
255,-72.088486,-71.8992,-75.583557,-84.262283,-64.170006,-69.915756,-56.932331,-57.066822,-60.06633
270,-73.739174,-72.115318,-75.3246,-84.641891,-64.548569,-70.035728,-56.368412,-57.061226,-58.906425
285,-70.079781,-72.455421,-75.146141,-83.847862,-65.084183,-70.612373,-56.014774,-57.275734,-58.427715
300,-68.928955,-72.313568,-75.286362,-83.391205,-64.908485,-70.875107,-56.117584,-56.689129,-57.700184
315,-67.660507,-71.959473,-75.150833,-83.171913,-64.11573,-68.764977,-55.801804,-56.974682,-57.121193
330,-63.703278,-72.151161,-75.185226,-82.974739,-63.578598,-71.505577,-56.072136,-56.951561,-56.908836
345,-58.568066,-72.035271,-75.619354,-83.02182,-62.552147,-70.008804,-56.433578,-57.221809,-56.379143
360,-60.578606,-72.743492,-75.307259,-83.453209,-62.076504,-71.179375,-56.372372,-56.758118,-56.012371
375,-59.317089,-73.155052,-75.598549,-83.161873,-62.485394,-71.127716,-56.066509,-56.639729,-55.469269
390,-56.162003,-73.223328,-75.849861,-82.938622,-62.549713,-72.029312,-56.53371,-56.322948,-55.144032
405,-57.907043,-72.982376,-75.545166,-82.526711,-62.146187,-72.849548,-56.693439,-56.243965,-55.83213
420,-60.330578,-72.636353,-75.760475,-82.755684,-63.014709,-72.813286,-56.642456,-56.109356,-55.701813
435,-58.678886,-72.488884,-75.234993,-82.613914,-63.790245,-73.019669,-57.037014,-56.151665,-55.730473
450,-60.806919,-72.654312,-74.985184,-82.495438,-63.373314,-73.17041,-57.17318,-56.110161,-55.959404
465,-59.170742,-71.27092,-74.905388,-82.41568,-63.630272,-73.422615,-57.098091,-56.240746,-55.69743
480,-59.801025,-71.423981,-74.737938,-82.469193,-62.971584,-71.997131,-57.390347,-55.616676,-55.512581
495,-60.747166,-71.643005,-74.822029,-82.410805,-62.791714,-72.655411,-57.531868,-56.038857,-55.027561
510,-60.275627,-71.603775,-74.864388,-82.725639,-63.225674,-72.878517,-57.86977,-56.046978,-55.750843
525,-61.431187,-71.228645,-75.11924,-82.695877,-63.287373,-73.704117,-57.475384,-55.581013,-55.856216
540,-62.194065,-71.114471,-74.761566,-82.261917,-63.602531,-73.239227,-56.596275,-55.579781,-55.477016
555,-60.920086,-71.101273,-74.391891,-82.496117,-63.026821,-72.961693,-56.525478,-56.171803,-55.634991
570,-62.367622,-71.518417,-74.940681,-83.321701,-62.959709,-72.386253,-56.777523,-56.04599,-55.588985
585,-61.524082,-71.525749,-74.302292,-83.698639,-62.457924,-72.730766,-56.520401,-56.020191,-55.274742
