seconds,576498.04.03.01,577972.04.04.01,578133.03.03.01,582722.04.04.01,582323.05.03.01,582722.04.03.01,578138.05.03.01,575279.02.01.01,579326.05.03.01,579326.04.03.01,582721.04.03.01,582721.05.03.01,576034.04.04.01,584470.20.10.01,586529.05.03.01,586529.03.04.01,589340.05.09.01,589339.01.09.01,591334.05.09.01,591334.06.09.01,Average
0,-56.476002,-58.932545,-75.805664,-63.571018,-75.014801,-76.357796,-58.139565,-63.556286,-70.426941,-65.61824,-57.053509,-62.842552,-67.963165,-56.641312,-71.151237,-60.940346,-77.706421,-69.88063,-86.695358,-67.753937,-67.12636625
15,-56.514153,-57.682381,-75.35482,-63.781662,-75.023682,-75.0187,-58.098549,-63.357975,-69.949745,-65.253349,-56.930187,-64.28743,-68.777802,-56.049149,-71.125397,-61.524284,-77.871635,-69.949905,-86.949806,-67.372604,-67.04366075
30,-56.925087,-58.653194,-75.402245,-64.771622,-74.955368,-74.72113,-57.616005,-63.849564,-70.0411,-64.524872,-56.868137,-64.836128,-69.061852,-56.174263,-70.46904,-61.666233,-78.036598,-70.097427,-87.017334,-67.846649,-67.1766924
45,-56.875572,-57.617825,-75.059959,-64.780365,-74.963264,-74.627731,-58.118526,-63.590019,-69.962341,-64.856766,-57.693668,-65.470161,-68.349373,-56.0994,-70.570175,-61.986294,-77.826241,-70.333824,-87.161293,-67.666725,-67.1804761
60,-56.520161,-57.865345,-75.085129,-64.905495,-74.680267,-74.785515,-58.565201,-63.414291,-70.27108,-64.856827,-56.871952,-65.537186,-68.690834,-56.549431,-69.988266,-61.326,-77.634048,-70.106834,-87.57872,-67.664154,-67.1448368
75,-56.824875,-57.786232,-76.445099,-65.069046,-74.878044,-74.554283,-58.001869,-64.242134,-70.351044,-65.121735,-57.809265,-65.455635,-69.308998,-56.500633,-70.527924,-61.829075,-78.559113,-70.2799,-87.450783,-67.989761,-67.4492724
90,-56.520008,-57.959991,-76.518623,-65.268196,-74.7593,-74.452324,-59.606613,-64.141609,-70.413612,-65.165131,-58.555199,-65.904976,-68.00428,-56.513767,-71.141235,-60.037998,-77.630661,-70.433418,-87.138374,-67.786858,-67.39760865
105,-56.127495,-57.45137,-77.668365,-65.107864,-74.702637,-74.864532,-59.181026,-64.948807,-70.18502,-66.34729,-58.459904,-65.402878,-67.813828,-57.573494,-71.64151,-60.655434,-78.094185,-70.924362,-87.185318,-68.048203,-67.6191761
120,-56.283466,-58.296635,-78.578445,-64.841812,-74.685287,-75.612503,-58.74675,-65.305252,-70.614456,-66.4869,-58.598873,-65.722359,-68.57106,-57.571796,-71.069756,-61.414127,-77.564201,-71.301834,-87.061401,-67.500374,-67.79136435
135,-56.350544,-58.335045,-78.789894,-65.023056,-74.427032,-76.412628,-59.40123,-65.263855,-70.955132,-66.762627,-58.726513,-65.966187,-68.010857,-57.219273,-70.590714,-60.346714,-78.069984,-71.817696,-87.06015,-67.82222,-67.86756755
150,-56.568817,-58.0518,-78.661446,-65.683571,-74.666389,-76.524849,-59.510738,-64.894699,-71.078102,-66.669579,-59.056622,-66.143028,-68.31601,-56.703751,-71.287689,-60.50098,-79.012444,-71.20137,-87.34108,-67.493851,-67.96834075
165,-56.841133,-58.228848,-78.810074,-65.813614,-74.996849,-76.593567,-59.780853,-65.824951,-70.892189,-67.567345,-59.281422,-66.332275,-69.022743,-57.550201,-71.124077,-60.120117,-79.127556,-71.054108,-87.374924,-67.743065,-68.20399555
180,-57.184044,-58.57093,-78.767632,-66.170555,-75.647888,-76.970268,-60.192806,-66.098183,-71.008476,-67.760361,-59.238991,-65.969955,-68.340149,-58.301239,-70.865349,-61.116817,-78.932396,-71.386932,-87.582367,-68.116539,-68.41109385
195,-57.485855,-59.191151,-76.162918,-66.386223,-75.767433,-77.190285,-59.366283,-66.092285,-71.613014,-68.036087,-59.691795,-66.058968,-68.17807,-58.057232,-71.685318,-60.508354,-79.217209,-71.222496,-87.16394,-67.775101,-68.34250085
210,-57.311733,-58.500923,-74.354118,-66.495415,-75.532127,-77.253029,-59.679829,-66.089134,-69.949127,-67.87487,-60.071854,-65.547394,-69.206009,-57.869678,-71.945595,-61.026798,-79.27108,-70.893379,-87.337585,-67.950676,-68.20801765
225,-57.32534,-58.164055,-74.745171,-66.805489,-75.519798,-77.540237,-60.286644,-66.77813,-69.721794,-68.172348,-59.952309,-65.558884,-68.946823,-57.665688,-71.548805,-60.294182,-78.742744,-70.792099,-86.79686,-67.924789,-68.16410945
240,-57.041599,-58.003822,-74.341553,-66.091202,-76.141159,-78.138252,-60.1157,-64.994881,-70.572731,-67.988258,-59.519756,-65.230659,-68.960793,-57.149845,-71.475121,-58.258965,-78.977943,-70.622635,-87.773392,-67.928246,-67.9663256
255,-57.248276,-55.979469,-73.930603,-66.153778,-76.233261,-78.118614,-59.893227,-65.092667,-70.391724,-68.127754,-58.623299,-65.105927,-68.424294,-56.929047,-71.183311,-58.918865,-78.210648,-70.729271,-87.748817,-68.237526,-67.7640189
270,-57.460354,-58.28458,-74.522118,-66.468338,-76.498802,-77.406609,-59.526806,-66.421806,-70.503418,-68.496727,-59.162136,-64.838158,-69.173927,-56.338127,-71.348518,-60.137394,-78.05265,-70.878242,-87.441963,-68.398148,-68.06794105
285,-57.312038,-58.883327,-74.152924,-65.923187,-76.96508,-77.516907,-58.775257,-64.580933,-70.100136,-68.616333,-58.439968,-64.669205,-68.806274,-56.360104,-71.618599,-59.267086,-78.327431,-70.900955,-87.467453,-68.32502,-67.85041085
300,-57.569916,-59.680164,-73.914734,-65.998024,-76.888573,-76.52916,-58.827099,-66.589851,-68.224098,-68.548401,-58.792667,-65.261978,-69.423683,-55.615398,-71.758102,-58.944897,-77.957161,-70.923508,-87.682762,-68.635834,-67.8883005
315,-57.421242,-60.272156,-73.188522,-66.024643,-76.752068,-75.652054,-58.682056,-67.209778,-69.539497,-69.424141,-58.932686,-64.066772,-69.61692,-56.194267,-71.542358,-58.809288,-77.828568,-70.627831,-88.252136,-68.708336,-67.93726595
330,-57.139126,-59.554165,-72.819405,-66.431969,-77.112915,-76.021141,-58.353458,-67.138809,-71.225212,-69.557747,-59.6548,-64.705299,-69.9813,-56.615433,-70.944061,-61.652912,-77.32206,-70.3013,-88.106537,-68.46843,-68.15530395
345,-57.047482,-57.755474,-73.89576,-66.284843,-76.818886,-75.774109,-57.47134,-66.670235,-70.717369,-69.795036,-59.668877,-64.457161,-69.657326,-55.550354,-71.073006,-60.258617,-77.954498,-70.733711,-88.008987,-68.533981,-67.9063526
360,-56.857685,-59.689796,-74.182274,-66.143654,-76.613136,-75.435989,-58.079651,-67.04026,-71.210899,-69.832809,-59.123409,-64.282455,-69.808029,-53.902412,-71.503853,-59.471237,-78.115334,-70.828606,-88.240433,-68.512115,-67.9437018
375,-57.020504,-60.152889,-73.819313,-66.606071,-76.785469,-75.163963,-57.038986,-66.278961,-71.196152,-70.412628,-59.265476,-64.757355,-68.560089,-54.403381,-72.521011,-62.122108,-78.257721,-70.906723,-88.306396,-68.701897,-68.11385465
390,-56.447643,-59.760899,-74.213516,-66.568062,-76.016045,-74.956505,-56.603519,-66.615509,-71.429222,-70.181625,-59.886642,-63.669518,-69.77993,-53.937206,-73.252914,-61.790955,-78.150681,-70.903099,-88.26799,-68.219604,-68.0325542
405,-56.802124,-59.657482,-73.516594,-66.707077,-75.952774,-74.741638,-59.121872,-66.045784,-71.384178,-69.482719,-60.144444,-63.436882,-69.621925,-53.886448,-74.376953,-61.548874,-77.832008,-70.823219,-88.119225,-68.207436,-68.0704828
420,-56.526096,-60.022964,-75.107239,-66.862259,-75.829964,-74.741104,-58.131668,-66.361618,-71.846825,-68.71917,-59.858616,-63.354492,-69.475121,-54.016628,-75.458977,-61.543568,-78.147949,-70.953964,-88.014748,-68.285156,-68.1629063
435,-56.205616,-60.594616,-73.721008,-67.420464,-75.888298,-73.95105,-58.837204,-66.517914,-71.590218,-68.330208,-59.657848,-63.487423,-69.708099,-54.649132,-76.239243,-62.256004,-78.275215,-70.975662,-88.110611,-67.592072,-68.20039525
450,-56.471127,-60.634296,-73.190468,-67.58651,-75.864235,-74.231514,-58.327347,-66.534782,-71.703629,-68.167763,-60.340328,-63.464798,-70.135422,-54.846401,-76.399872,-61.550541,-78.133148,-71.123138,-88.10511,-67.483658,-68.21470435
465,-56.381954,-60.275326,-73.598274,-67.303268,-75.841156,-74.092979,-58.177155,-66.679153,-71.896957,-67.958977,-59.998871,-63.282188,-70.359642,-53.598873,-76.867287,-61.056961,-78.220169,-70.540222,-88.181526,-67.290558,-68.0800748
480,-56.340126,-60.393303,-74.056946,-67.675308,-76.244606,-73.644379,-58.186234,-65.859146,-71.911446,-68.277344,-60.228416,-63.268272,-70.369698,-54.001003,-76.209061,-61.384449,-78.245186,-70.818085,-87.946815,-67.568779,-68.1314301
495,-56.67664,-60.815086,-74.965683,-67.276054,-75.311081,-74.660126,-58.764675,-65.848976,-72.106804,-67.593063,-60.193573,-63.075348,-70.727013,-53.929371,-77.08139,-60.178024,-77.268532,-70.448853,-87.942581,-67.853035,-68.1357954
510,-55.738098,-61.40081,-75.541801,-66.32766,-74.068642,-74.265266,-58.681202,-65.385696,-72.555061,-67.740181,-60.487545,-63.033852,-70.286667,-54.417419,-77.440903,-60.610069,-77.54821,-70.577003,-87.990593,-67.523201,-68.08099395
525,-57.172016,-61.346333,-75.452721,-66.483063,-73.253258,-74.1082,-58.549957,-65.258614,-72.40554,-68.050407,-60.648987,-62.73415,-70.897377,-54.273872,-77.780762,-61.850143,-78.265923,-70.790703,-87.760689,-67.825142,-68.24539285
