seconds,607073.09.02.01,607073.11.02.01,607073.09.01.01,610299.11.03.01,610299.11.04.01,610299.10.03.01,611537.12.03.01,611537.12.04.01,611537.11.03.01,612219.12.03.01,615619.05.01.01,615619.05.02.01,615619.03.02.01,615617.05.04.01,615617.06.04.01,615617.05.03.01,C57BL6J-620909.01.04.01,C57BL6J-620223.02.03.01,C57BL6J-620225.03.03.01,C57BL6J-620225.03.04.01,C57BL6J-620225.02.03.01,C57BL6J-620223.04.03.01,C57BL6J-620909.01.03.01,C57BL6J-620909.02.03.01
0,-74.079071,-77.014542,-72.174538,-61.76532,-67.474419,-77.97744,-77.687981,-72.13858,-64.419724,-66.938141,-73.445175,-71.905876,-76.58651,-80.131348,-79.569504,-71.072624,-73.069084,-67.771721,-75.365952,-67.498055,-72.559616,-80.307877,-69.769966,-74.679451
15,-73.867882,-77.236839,-70.992805,-61.500183,-67.45681,-77.387108,-77.402283,-72.613701,-63.936184,-67.579544,-73.794067,-71.822632,-77.095749,-79.940659,-79.597191,-73.514618,-73.990845,-67.655823,-74.157677,-68.20108,-72.530533,-80.175354,-70.386719,-74.151207
30,-73.448296,-77.728531,-69.714935,-60.715546,-67.087395,-76.258865,-77.429771,-70.911034,-63.92149,-65.976814,-73.835693,-71.671036,-77.140663,-80.116104,-80.154129,-73.735184,-74.59523,-67.008591,-75.326691,-69.120674,-71.616653,-80.274834,-69.888847,-73.830322
45,-73.521317,-77.827263,-70.932983,-59.610668,-67.39222,-76.166595,-77.12394,-69.50074,-63.965542,-66.630669,-73.693832,-71.838867,-77.457169,-80.031685,-79.634781,-74.352898,-73.771149,-67.902214,-75.369514,-69.065491,-70.876289,-79.996391,-69.255951,-73.857384
60,-74.299271,-77.936226,-71.456627,-60.28299,-67.455177,-75.796432,-77.433823,-69.619049,-63.480854,-67.01236,-74.124489,-71.156502,-76.632362,-79.962105,-79.582779,-75.805679,-73.202217,-67.586533,-75.376472,-68.089478,-69.44809,-80.054031,-69.833878,-73.252457
75,-73.967331,-77.809807,-71.072823,-60.066639,-67.567268,-75.110886,-77.668236,-69.557388,-63.899746,-67.362617,-74.244133,-71.401627,-77.952263,-79.836662,-80.600136,-74.157631,-74.081924,-66.994408,-75.59053,-68.967651,-68.497696,-80.408684,-68.441803,-72.510201
90,-73.35099,-77.808273,-70.81765,-60.056995,-70.419266,-75.317146,-77.062874,-69.366135,-63.524174,-67.710503,-74.662643,-71.348373,-77.11261,-78.842377,-79.42572,-73.083549,-73.262833,-65.249908,-70.703026,-68.413498,-67.539886,-79.692001,-68.759613,-73.549049
105,-73.632744,-77.702652,-71.001411,-60.055347,-67.550491,-75.359818,-76.801384,-69.813652,-63.986034,-68.683754,-73.966179,-71.326698,-78.864578,-79.600204,-80.305534,-73.600304,-74.969635,-67.191483,-72.250374,-68.219574,-68.056931,-80.686813,-70.230484,-74.303246
120,-73.387772,-78.048439,-70.932358,-59.449749,-67.369415,-74.736847,-78.51963,-69.561905,-63.664207,-68.658096,-75.177956,-71.136909,-79.049904,-77.531128,-81.808266,-73.533989,-65.64328,-66.321968,-70.673416,-70.387627,-67.513809,-80.606194,-70.307274,-73.782631
135,-71.89061,-78.217804,-68.96994,-60.821003,-68.123291,-75.112991,-78.957764,-70.886688,-63.700573,-68.965179,-74.98555,-71.89016,-78.591057,-80.348289,-81.710991,-72.284264,-53.063206,-66.99131,-73.739792,-70.579948,-67.319069,-80.630348,-70.53154,-75.213631
