seconds,576333.05.03.01,576034.04.03.01,576034.04.04.01,576031.02.04.01,576811.03.01.01,577301.02.03.01,576332.05.03.01,576031.02.03.01,578133.05.04.01,578133.08.04.01,578133.03.03.01,578133.05.03.01,577972.04.04.01,577972.05.03.01,578138.05.03.01,580200.04.02.02,582323.05.03.01,581874.05.10.01,582323.04.03.01,582721.04.03.01,582721.05.03.01,584469.06.10.01,584471.08.03.01,584470.20.10.01,584471.05.04.01,586529.05.03.01,586747.02.01.01,586747.03.01.01,586529.03.04.01,589340.06.09.01,589340.05.09.01,600735.09.06.01,600521.07.06.01,599564.03.02.01,602118.05.03.01,604145.02.02.01
0,-49.86639,-65.979561,-67.963165,-75.720161,-54.397888,-64.51368,-64.295235,-49.027996,-72.866409,-71.542709,-75.805664,-61.419254,-58.932545,-65.13784,-58.139565,-62.961224,-75.014801,-61.142735,-71.476822,-57.053509,-62.842552,-84.897842,-83.982208,-56.641312,-79.019516,-71.151237,-73.681084,-71.426819,-60.940346,-70.161247,-77.706421,-78.529823,-72.793251,-74.290878,-68.818359,-74.749321
15,-49.136597,-66.453232,-68.777802,-75.40184,-54.387165,-64.583527,-63.479763,-49.440388,-72.294128,-71.344833,-75.35482,-61.88895,-57.682381,-64.956612,-58.098549,-62.370071,-75.023682,-60.519672,-70.979691,-56.930187,-64.28743,-85.493736,-84.031776,-56.049149,-78.550873,-71.125397,-74.590881,-71.979691,-61.524284,-70.788506,-77.871635,-77.537682,-72.850945,-76.576721,-69.962761,-75.13446
30,-50.025208,-66.758133,-69.061852,-76.360817,-54.363647,-64.67366,-63.555164,-49.82159,-72.112648,-71.061256,-75.402245,-62.22361,-58.653194,-64.150871,-57.616005,-62.792957,-74.955368,-60.973457,-70.825211,-56.868137,-64.836128,-85.063858,-84.023834,-56.174263,-79.013474,-70.46904,-74.742363,-72.846626,-61.666233,-69.842194,-78.036598,-78.115227,-73.005806,-76.52961,-69.93232,-74.870186
45,-49.434895,-66.323067,-68.349373,-75.76844,-54.140144,-65.193855,-63.53093,-49.044426,-72.244354,-71.301163,-75.059959,-62.269569,-57.617825,-64.936157,-58.118526,-62.700157,-74.963264,-60.939857,-70.878838,-57.693668,-65.470161,-85.16362,-84.23497,-56.0994,-78.81176,-70.570175,-73.770248,-72.755585,-61.986294,-69.289207,-77.826241,-77.887833,-72.562561,-76.347481,-70.467018,-74.876442
60,-49.195057,-66.3974,-68.690834,-76.09816,-54.027122,-65.076645,-63.577236,-48.216717,-72.294632,-71.801598,-75.085129,-61.752937,-57.865345,-65.434174,-58.565201,-61.81876,-74.680267,-60.776489,-70.579926,-56.871952,-65.537186,-84.67894,-84.453583,-56.549431,-78.815353,-69.988266,-73.634247,-49.757614,-61.326,-68.248276,-77.634048,-78.279129,-73.786453,-76.155602,-69.726707,-74.720497
75,-47.697796,-64.962532,-69.308998,-51.955967,-53.647747,-66.055206,-64.476822,-48.299297,-72.308578,-70.864349,-76.445099,-62.107319,-57.786232,-65.349564,-58.001869,-62.697601,-74.878044,-60.761333,-71.079849,-57.809265,-65.455635,-85.193306,-84.386917,-56.500633,-78.510002,-70.527924,-74.518478,-57.884029,-61.829075,-68.040489,-78.559113,-78.22229,-73.064041,-75.120628,-69.417572,-74.431931
90,-50.434982,-60.759628,-68.00428,-50.336304,-54.474861,-66.570053,-63.733322,-48.957897,-72.378662,-71.468292,-76.518623,-61.985298,-57.959991,-65.201118,-59.606613,-62.513798,-74.7593,-60.707813,-71.536072,-58.555199,-65.904976,-84.850792,-84.210281,-56.513767,-79.043869,-71.141235,-75.477982,-48.844894,-60.037998,-68.938095,-77.630661,-78.276436,-74.082191,-75.624939,-72.56015,-74.120476
105,-53.100254,-46.498379,-67.813828,-48.5882,-54.736225,-66.730675,-64.374191,-48.786587,-72.359642,-71.354622,-77.668365,-61.286125,-57.45137,-66.120422,-59.181026,-62.667557,-74.702637,-61.019817,-71.678337,-58.459904,-65.402878,-85.025047,-85.810493,-57.573494,-78.71595,-71.64151,-75.733307,-49.875946,-60.655434,-68.352959,-78.094185,-78.801247,-75.313477,-75.717735,-71.174301,-74.424103
120,-53.959087,-35.49028,-68.57106,-48.475685,-54.334885,-66.201378,-64.127357,-48.518375,-72.87825,-70.780067,-78.578445,-61.61961,-58.296635,-65.045815,-58.74675,-63.144798,-74.685287,-61.375526,-71.18615,-58.598873,-65.722359,-84.975609,-84.961624,-57.571796,-79.25132,-71.069756,-75.895935,-50.98278,-61.414127,-69.436691,-77.564201,-78.945023,-75.634705,-75.698189,-70.735016,-74.02314
135,-55.045704,-37.384563,-68.010857,-46.50853,-54.563068,-66.397263,-65.107414,-48.821621,-72.890854,-70.787735,-78.789894,-61.660564,-58.335045,-64.540771,-59.40123,-62.161079,-74.427032,-60.972347,-70.602982,-58.726513,-65.966187,-85.783928,-85.665504,-57.219273,-79.218117,-70.590714,-74.84436,-49.163979,-60.346714,-69.197601,-78.069984,-79.017448,-75.814919,-75.881104,-71.271217,-75.078201
150,-56.755306,-37.099945,-68.31601,-44.970623,-55.248367,-66.355278,-65.401115,-49.335243,-73.08812,-70.486351,-78.661446,-60.536438,-58.0518,-63.827545,-59.510738,-61.917553,-74.666389,-60.477234,-70.672874,-59.056622,-66.143028,-85.510017,-84.034058,-56.703751,-78.664703,-71.287689,-74.415894,-48.01923,-60.50098,-70.02256,-79.012444,-78.92704,-75.461349,-75.745598,-71.401917,-75.353088
165,-56.168476,-38.44331,-69.022743,-47.267269,-55.240227,-66.314476,-63.178875,-49.220959,-72.876923,-70.0541,-78.810074,-61.281395,-58.228848,-64.749336,-59.780853,-62.312469,-74.996849,-59.914436,-71.036194,-59.281422,-66.332275,-84.340752,-83.968918,-57.550201,-77.863426,-71.124077,-75.03138,-46.647591,-60.120117,-69.969429,-79.127556,-78.870987,-75.922768,-76.162071,-70.358772,-76.23394
180,-56.406029,-40.70364,-68.340149,-47.535591,-54.862587,-66.877243,-64.50116,-48.64637,-72.324326,-69.955063,-78.767632,-61.58741,-58.57093,-64.711174,-60.192806,-60.354336,-75.647888,-59.042259,-70.838951,-59.238991,-65.969955,-83.876312,-84.37323,-58.301239,-79.067688,-70.865349,-75.584953,-46.194603,-61.116817,-69.316956,-78.932396,-78.669083,-76.577866,-76.816872,-70.620201,-75.685547
195,-56.575802,-41.80275,-68.17807,-48.211842,-55.070084,-67.290695,-64.233818,-49.547466,-72.129807,-69.83548,-76.162918,-60.813129,-59.191151,-64.493454,-59.366283,-62.42902,-75.767433,-59.416172,-70.979042,-59.691795,-66.058968,-84.716873,-84.493881,-58.057232,-78.89196,-71.685318,-74.333252,-43.957375,-60.508354,-68.831306,-79.217209,-78.744919,-75.56456,-75.963997,-71.026176,-75.710228
210,-56.874706,-44.33213,-69.206009,-47.612144,-55.388542,-65.597961,-63.920589,-48.870739,-71.811424,-68.753616,-74.354118,-60.726074,-58.500923,-64.112511,-59.679829,-62.376198,-75.532127,-58.140957,-70.664459,-60.071854,-65.547394,-85.036964,-84.706207,-57.869678,-79.076149,-71.945595,-73.827782,-43.113201,-61.026798,-68.615227,-79.27108,-78.030548,-74.115486,-75.93972,-71.542824,-75.918533
225,-57.311977,-46.89333,-68.946823,-49.6003,-54.900406,-65.597374,-63.869102,-48.741825,-71.659592,-70.176903,-74.745171,-61.09407,-58.164055,-64.72789,-60.286644,-62.879211,-75.519798,-58.788914,-71.523529,-59.952309,-65.558884,-84.56765,-84.942047,-57.665688,-78.021362,-71.548805,-74.013824,-62.158329,-60.294182,-67.40023,-78.742744,-78.165787,-75.100586,-76.347725,-70.863686,-76.064796
240,-57.917278,-48.810677,-68.960793,-49.30088,-54.895409,-65.514961,-64.292877,-48.802547,-71.834854,-70.06147,-74.341553,-60.639713,-58.003822,-64.333878,-60.1157,-61.899818,-76.141159,-57.987915,-71.475365,-59.519756,-65.230659,-85.321823,-84.895004,-57.149845,-78.140457,-71.475121,-74.730629,-73.542465,-58.258965,-69.017929,-78.977943,-78.352158,-73.764908,-75.687485,-71.523178,-76.215324
255,-58.397984,-48.206734,-68.424294,-48.306911,-54.927277,-65.998962,-63.464085,-48.842751,-72.017281,-69.305252,-73.930603,-60.19331,-55.979469,-64.329781,-59.893227,-62.945606,-76.233261,-58.016899,-70.710762,-58.623299,-65.105927,-84.404022,-84.667397,-56.929047,-78.554649,-71.183311,-73.445961,-77.08062,-58.918865,-70.378311,-78.210648,-79.062233,-73.588226,-75.271576,-72.247551,-76.570183
270,-58.281513,-52.694424,-69.173927,-55.741455,-54.325645,-65.740906,-63.143696,-48.440121,-72.032074,-68.294212,-74.522118,-60.447067,-58.28458,-64.646233,-59.526806,-63.037025,-76.498802,-58.143826,-71.405617,-59.162136,-64.838158,-84.36264,-84.670517,-56.338127,-78.398232,-71.348518,-73.530396,-75.388268,-60.137394,-70.500374,-78.05265,-77.815933,-71.726578,-75.246841,-69.768166,-76.592453
285,-57.743252,-57.990211,-68.806274,-71.324081,-54.205555,-65.432564,-64.155518,-48.766804,-72.313652,-67.26889,-74.152924,-60.248158,-58.883327,-64.973991,-58.775257,-62.096107,-76.96508,-58.15403,-70.396042,-58.439968,-64.669205,-84.417526,-84.531143,-56.360104,-78.359055,-71.618599,-73.665833,-74.559074,-59.267086,-70.884201,-78.327431,-77.551437,-72.750076,-74.950607,-69.730583,-76.965927
300,-57.094105,-58.260059,-69.423683,-51.483238,-55.111744,-65.256638,-63.346931,-49.247482,-71.99025,-67.031349,-73.914734,-60.947456,-59.680164,-65.16597,-58.827099,-63.017857,-76.888573,-58.911377,-69.299438,-58.792667,-65.261978,-83.560234,-84.541222,-55.615398,-78.064606,-71.758102,-73.19487,-73.9161,-58.944897,-70.839272,-77.957161,-77.291817,-73.058556,-75.607918,-70.023781,-76.819931
